ERROR: NewMaster - No matching master record for trans key User [updateCode=D, key=1, firstName=null, familyName=null, age=null, timeStamp=2014-04-04 16:54:24.617]
ERROR: NewMaster - No matching master record for trans key User [updateCode=D, key=8, firstName=null, familyName=null, age=null, timeStamp=2014-04-04 17:14:51.384]
ERROR: NewMaster - No matching master record for trans key User [updateCode=U, key=8, firstName=Bush, familyName=Cheon, age=37, timeStamp=2014-04-04 17:14:51.440]
ERROR: NewMaster - No matching master record for trans key User [updateCode=D, key=9, firstName=null, familyName=null, age=null, timeStamp=2014-04-04 17:14:51.350]
ERROR: NewMaster - No matching master record for trans key User [updateCode=D, key=9, firstName=null, familyName=null, age=null, timeStamp=2014-04-04 17:14:51.351]
ERROR: NewMaster - No matching master record for trans key User [updateCode=D, key=9, firstName=null, familyName=null, age=null, timeStamp=2014-04-04 17:14:51.380]
ERROR: NewMaster - Duplicate record Key User [updateCode=I, key=11, firstName=Albas, familyName=Kim, age=10, timeStamp=2014-04-04 17:14:51.385]
ERROR: NewMaster - No matching master record for trans key User [updateCode=D, key=12, firstName=null, familyName=null, age=null, timeStamp=2014-04-04 17:14:51.390]
ERROR: NewMaster - No matching master record for trans key User [updateCode=D, key=12, firstName=null, familyName=null, age=null, timeStamp=2014-04-04 17:14:51.391]
ERROR: NewMaster - No matching master record for trans key User [updateCode=U, key=12, firstName=Pea, familyName=Park, age=29, timeStamp=2014-04-04 17:14:51.413]
ERROR: NewMaster - No matching master record for trans key User [updateCode=D, key=13, firstName=null, familyName=null, age=null, timeStamp=2014-04-04 17:14:51.353]
ERROR: NewMaster - No matching master record for trans key User [updateCode=U, key=13, firstName=, familyName=, age=null, timeStamp=2014-04-04 17:14:51.388]
ERROR: NewMaster - No matching master record for trans key User [updateCode=D, key=14, firstName=null, familyName=null, age=null, timeStamp=2014-04-04 17:14:51.417]
ERROR: NewMaster - Duplicate record Key User [updateCode=I, key=15, firstName=, familyName=, age=null, timeStamp=2014-04-04 17:14:51.357]
ERROR: NewMaster - Duplicate record Key User [updateCode=I, key=15, firstName=, familyName=, age=null, timeStamp=2014-04-04 17:14:51.360]
ERROR: NewMaster - Duplicate record Key User [updateCode=I, key=15, firstName=, familyName=, age=null, timeStamp=2014-04-04 17:14:51.363]
ERROR: NewMaster - Duplicate record Key User [updateCode=I, key=16, firstName=Albas, familyName=Kim, age=10, timeStamp=2014-04-04 17:14:51.324]
ERROR: NewMaster - No matching master record for trans key User [updateCode=D, key=16, firstName=null, familyName=null, age=null, timeStamp=2014-04-04 17:14:51.366]
ERROR: NewMaster - No matching master record for trans key User [updateCode=U, key=16, firstName=Little, familyName=Koo, age=19, timeStamp=2014-04-04 17:14:51.420]
ERROR: NewMaster - No matching master record for trans key User [updateCode=D, key=17, firstName=null, familyName=null, age=null, timeStamp=2014-04-04 17:14:51.329]
ERROR: NewMaster - No matching master record for trans key User [updateCode=U, key=17, firstName=, familyName=, age=null, timeStamp=2014-04-04 17:14:51.364]
ERROR: NewMaster - No matching master record for trans key User [updateCode=D, key=19, firstName=null, familyName=null, age=null, timeStamp=2014-04-04 17:14:51.370]
